model_name,F1,ROC,acc-class-1,acc-class-2,TPR,FPR,AUC,THRE
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.21428571 0.35714286 0.42857143
 0.64285714 0.64285714 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.07142857 0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.28571429 0.28571429 0.78571429
 0.78571429 1.        ]",0.8137755102040817,-0.1
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.21428571 0.35714286 0.42857143
 0.64285714 0.64285714 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.07142857 0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.28571429 0.28571429 0.78571429
 0.78571429 1.        ]",0.8137755102040817,-0.09000000000000001
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.21428571 0.35714286 0.42857143
 0.64285714 0.64285714 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.07142857 0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.28571429 0.28571429 0.78571429
 0.78571429 1.        ]",0.8137755102040817,-0.08000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.21428571 0.35714286 0.42857143
 0.64285714 0.64285714 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.07142857 0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.28571429 0.28571429 0.78571429
 0.78571429 1.        ]",0.8137755102040817,-0.07000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.21428571 0.35714286 0.42857143
 0.64285714 0.64285714 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.07142857 0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.28571429 0.28571429 0.78571429
 0.78571429 1.        ]",0.8137755102040817,-0.060000000000000026
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.21428571 0.35714286 0.42857143
 0.64285714 0.64285714 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.07142857 0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.28571429 0.28571429 0.78571429
 0.78571429 1.        ]",0.8137755102040817,-0.05000000000000003
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.21428571 0.35714286 0.42857143
 0.64285714 0.64285714 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.07142857 0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.28571429 0.28571429 0.78571429
 0.78571429 1.        ]",0.8137755102040817,-0.040000000000000036
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.21428571 0.35714286 0.42857143
 0.64285714 0.64285714 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.07142857 0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.28571429 0.28571429 0.78571429
 0.78571429 1.        ]",0.8137755102040817,-0.03000000000000004
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.21428571 0.35714286 0.42857143
 0.64285714 0.64285714 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.07142857 0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.28571429 0.28571429 0.78571429
 0.78571429 1.        ]",0.8137755102040817,-0.020000000000000046
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.07142857 0.21428571 0.35714286 0.42857143
 0.64285714 0.64285714 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]","[0.         0.07142857 0.07142857 0.07142857 0.07142857 0.14285714
 0.14285714 0.21428571 0.21428571 0.28571429 0.28571429 0.78571429
 0.78571429 1.        ]",0.8137755102040817,-0.01000000000000005
