model_name,F1,ROC,acc-class-1,acc-class-2,TPR,FPR,AUC,THRE
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,-0.1
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,-0.09000000000000001
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,-0.08000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,-0.07000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,-0.060000000000000026
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,-0.05000000000000003
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,-0.040000000000000036
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,-0.03000000000000004
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,-0.020000000000000046
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,-0.01000000000000005
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,-5.551115123125783e-17
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,0.00999999999999994
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,0.019999999999999934
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,0.029999999999999943
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,0.039999999999999925
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,0.049999999999999906
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,0.059999999999999915
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,0.06999999999999992
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,0.0799999999999999
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,0.08999999999999989
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,0.0999999999999999
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.14285714 0.21428571 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.28571429
 0.28571429 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.85714286 0.85714286 1.         1.        ]",0.6581632653061225,0.1099999999999999
