model_name,F1,ROC,acc-class-1,acc-class-2,TPR,FPR,AUC,THRE
SynClass,0.3333333333333333,0.5,0.5,,"[0.      0.21875 0.21875 0.25    0.375   0.5     0.5     0.5625  0.6875
 0.71875 0.75    0.78125 0.78125 0.84375 0.84375 1.      1.      1.     ]","[0.      0.      0.0625  0.0625  0.125   0.21875 0.25    0.28125 0.34375
 0.34375 0.40625 0.40625 0.5     0.5     0.625   0.8125  0.84375 1.     ]",0.73046875,-0.1
SynClass,0.3333333333333333,0.5,0.5,,"[0.      0.21875 0.21875 0.25    0.375   0.5     0.5     0.5625  0.6875
 0.71875 0.75    0.78125 0.78125 0.84375 0.84375 1.      1.      1.     ]","[0.      0.      0.0625  0.0625  0.125   0.21875 0.25    0.28125 0.34375
 0.34375 0.40625 0.40625 0.5     0.5     0.625   0.8125  0.84375 1.     ]",0.73046875,-0.09000000000000001
SynClass,0.3333333333333333,0.5,0.5,,"[0.      0.21875 0.21875 0.25    0.375   0.5     0.5     0.5625  0.6875
 0.71875 0.75    0.78125 0.78125 0.84375 0.84375 1.      1.      1.     ]","[0.      0.      0.0625  0.0625  0.125   0.21875 0.25    0.28125 0.34375
 0.34375 0.40625 0.40625 0.5     0.5     0.625   0.8125  0.84375 1.     ]",0.73046875,-0.08000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.      0.21875 0.21875 0.25    0.375   0.5     0.5     0.5625  0.6875
 0.71875 0.75    0.78125 0.78125 0.84375 0.84375 1.      1.      1.     ]","[0.      0.      0.0625  0.0625  0.125   0.21875 0.25    0.28125 0.34375
 0.34375 0.40625 0.40625 0.5     0.5     0.625   0.8125  0.84375 1.     ]",0.73046875,-0.07000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.      0.21875 0.21875 0.25    0.375   0.5     0.5     0.5625  0.6875
 0.71875 0.75    0.78125 0.78125 0.84375 0.84375 1.      1.      1.     ]","[0.      0.      0.0625  0.0625  0.125   0.21875 0.25    0.28125 0.34375
 0.34375 0.40625 0.40625 0.5     0.5     0.625   0.8125  0.84375 1.     ]",0.73046875,-0.060000000000000026
SynClass,0.3333333333333333,0.5,0.5,,"[0.      0.21875 0.21875 0.25    0.375   0.5     0.5     0.5625  0.6875
 0.71875 0.75    0.78125 0.78125 0.84375 0.84375 1.      1.      1.     ]","[0.      0.      0.0625  0.0625  0.125   0.21875 0.25    0.28125 0.34375
 0.34375 0.40625 0.40625 0.5     0.5     0.625   0.8125  0.84375 1.     ]",0.73046875,-0.05000000000000003
SynClass,0.3333333333333333,0.5,0.5,,"[0.      0.21875 0.21875 0.25    0.375   0.5     0.5     0.5625  0.6875
 0.71875 0.75    0.78125 0.78125 0.84375 0.84375 1.      1.      1.     ]","[0.      0.      0.0625  0.0625  0.125   0.21875 0.25    0.28125 0.34375
 0.34375 0.40625 0.40625 0.5     0.5     0.625   0.8125  0.84375 1.     ]",0.73046875,-0.040000000000000036
SynClass,0.3333333333333333,0.5,0.5,,"[0.      0.21875 0.21875 0.25    0.375   0.5     0.5     0.5625  0.6875
 0.71875 0.75    0.78125 0.78125 0.84375 0.84375 1.      1.      1.     ]","[0.      0.      0.0625  0.0625  0.125   0.21875 0.25    0.28125 0.34375
 0.34375 0.40625 0.40625 0.5     0.5     0.625   0.8125  0.84375 1.     ]",0.73046875,-0.03000000000000004
SynClass,0.3333333333333333,0.5,0.5,,"[0.      0.21875 0.21875 0.25    0.375   0.5     0.5     0.5625  0.6875
 0.71875 0.75    0.78125 0.78125 0.84375 0.84375 1.      1.      1.     ]","[0.      0.      0.0625  0.0625  0.125   0.21875 0.25    0.28125 0.34375
 0.34375 0.40625 0.40625 0.5     0.5     0.625   0.8125  0.84375 1.     ]",0.73046875,-0.020000000000000046
SynClass,0.3333333333333333,0.5,0.5,,"[0.      0.21875 0.21875 0.25    0.375   0.5     0.5     0.5625  0.6875
 0.71875 0.75    0.78125 0.78125 0.84375 0.84375 1.      1.      1.     ]","[0.      0.      0.0625  0.0625  0.125   0.21875 0.25    0.28125 0.34375
 0.34375 0.40625 0.40625 0.5     0.5     0.625   0.8125  0.84375 1.     ]",0.73046875,-0.01000000000000005
