iteration,fold,F1,ROC,IOU,FMI,MCC,SEN,SPE
0,0,0.6,0.6,0.42857,0.4,0.2,0.6,0.6
0,0,0.89899,0.9,0.81667,0.78072,0.8165,0.8,1.0
0,1,0.375,0.4,0.2381,0.45644,-0.21822,0.2,0.6
0,2,0.49495,0.5,0.33036,0.39036,0.0,0.6,0.4
0,3,0.69697,0.7,0.53571,0.48795,0.40825,0.6,0.8
0,4,0.8,0.8,0.66667,0.6,0.6,0.8,0.8
0,5,0.69697,0.7,0.53571,0.48795,0.40825,0.6,0.8
0,6,0.4,0.4,0.25,0.4,-0.2,0.4,0.4
0,7,0.69697,0.7,0.53571,0.48795,0.40825,0.6,0.8
0,8,0.58333,0.6,0.41667,0.45644,0.21822,0.8,0.4
