MN,ACC_1,ACC_2,F1,AUC
KNN,0.6302394123830082,0.6320967965099159,0.6238402,0.62685675
RandomForest,0.6270024343257251,0.636070415372139,0.6264236,0.6284288999999998
DecisionTree,0.6251591430704851,0.6217490350098482,0.6133656000000001,0.6174286999999999
LocalOutlierFactor,0.36744380278206995,0.4246142259449213,0.39174710000000007,0.40642870000000003
IsolationForest,0.5268624956914431,0.5037137382334452,0.4257479,0.5065714
Xgboost,0.6234487741245694,0.6242186926875707,0.6204468,0.6218575999999999
