model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
KNN,0,0.63685,0.64286,0.6136363636363636,0.6923076923076923,0.77143,0.51429,0.29566,"[0.         0.37142857 0.51428571 0.68571429 0.77142857 0.77142857
 1.        ]","[0.         0.11428571 0.17142857 0.37142857 0.48571429 0.51428571
 1.        ]",0.7020408163265306
RandomForest,0,0.62857,0.62857,0.6285714285714286,0.6285714285714286,0.62857,0.62857,0.25714,"[0.         0.         0.22857143 0.22857143 0.25714286 0.25714286
 0.34285714 0.4        0.4        0.42857143 0.45714286 0.45714286
 0.48571429 0.48571429 0.51428571 0.51428571 0.6        0.6
 0.68571429 0.68571429 0.74285714 0.77142857 0.77142857 0.8
 0.8        0.82857143 0.82857143 0.85714286 0.85714286 0.88571429
 0.88571429 0.91428571 0.91428571 0.94285714 0.94285714 0.97142857
 0.97142857 1.         1.        ]","[0.         0.02857143 0.02857143 0.05714286 0.05714286 0.08571429
 0.08571429 0.08571429 0.14285714 0.14285714 0.17142857 0.25714286
 0.25714286 0.28571429 0.28571429 0.34285714 0.34285714 0.37142857
 0.37142857 0.4        0.4        0.4        0.42857143 0.42857143
 0.48571429 0.48571429 0.54285714 0.54285714 0.6        0.6
 0.82857143 0.82857143 0.85714286 0.85714286 0.91428571 0.91428571
 0.94285714 0.97142857 1.        ]",0.6995918367346938
DecisionTree,0,0.69994,0.7,0.6944444444444444,0.7058823529411765,0.71429,0.68571,0.40016,[0.         0.71428571 1.        ],[0.         0.31428571 1.        ],0.7000000000000001
KNN,0,0.58563,0.58571,0.5882352941176471,0.5833333333333334,0.57143,0.6,0.1715,"[0.         0.02857143 0.2        0.25714286 0.57142857 0.85714286
 0.97142857 1.        ]","[0.         0.         0.02857143 0.11428571 0.4        0.74285714
 1.         1.        ]",0.6212244897959183
LocalOutlierFactor,0,0.36377,0.38571,0.3181818181818182,0.4166666666666667,0.2,0.57143,-0.24618,"[0.         0.02857143 0.02857143 0.08571429 0.08571429 0.22857143
 0.22857143 0.48571429 0.48571429 0.57142857 0.57142857 0.6
 0.6        0.62857143 0.62857143 0.71428571 0.71428571 0.77142857
 0.77142857 0.8        0.8        0.85714286 0.85714286 0.88571429
 0.88571429 0.91428571 0.91428571 0.94285714 0.94285714 1.
 1.        ]","[0.         0.         0.05714286 0.05714286 0.08571429 0.08571429
 0.14285714 0.14285714 0.17142857 0.17142857 0.2        0.2
 0.28571429 0.28571429 0.42857143 0.42857143 0.51428571 0.51428571
 0.54285714 0.54285714 0.57142857 0.57142857 0.65714286 0.65714286
 0.8        0.8        0.85714286 0.85714286 0.94285714 0.94285714
 1.        ]",0.6848979591836735
IsolationForest,0,0.43089,0.52857,0.6666666666666666,0.515625,0.11429,0.94286,0.10206,"[0.         0.         0.         0.02857143 0.02857143 0.05714286
 0.05714286 0.08571429 0.08571429 0.11428571 0.11428571 0.14285714
 0.14285714 0.17142857 0.17142857 0.2        0.2        0.25714286
 0.25714286 0.34285714 0.34285714 0.45714286 0.45714286 0.51428571
 0.51428571 0.57142857 0.57142857 0.77142857 0.77142857 0.85714286
 0.85714286 0.88571429 0.88571429 0.91428571 0.91428571 1.        ]","[0.         0.02857143 0.05714286 0.05714286 0.08571429 0.08571429
 0.14285714 0.14285714 0.17142857 0.17142857 0.22857143 0.22857143
 0.34285714 0.34285714 0.37142857 0.37142857 0.4        0.4
 0.42857143 0.42857143 0.45714286 0.45714286 0.6        0.6
 0.62857143 0.62857143 0.65714286 0.65714286 0.71428571 0.71428571
 0.77142857 0.77142857 0.94285714 0.94285714 1.         1.        ]",0.4506122448979591
Xgboost,0,0.67136,0.67143,0.6666666666666666,0.6764705882352942,0.68571,0.65714,0.343,"[0.         0.02857143 0.02857143 0.05714286 0.05714286 0.34285714
 0.4        0.45714286 0.45714286 0.48571429 0.48571429 0.51428571
 0.51428571 0.57142857 0.57142857 0.65714286 0.65714286 0.74285714
 0.74285714 0.77142857 0.77142857 0.8        0.8        0.82857143
 0.82857143 0.85714286 0.85714286 0.91428571 0.91428571 0.94285714
 0.94285714 0.97142857 1.        ]","[0.         0.         0.05714286 0.05714286 0.08571429 0.08571429
 0.08571429 0.08571429 0.14285714 0.14285714 0.25714286 0.25714286
 0.28571429 0.28571429 0.31428571 0.31428571 0.34285714 0.34285714
 0.37142857 0.37142857 0.4        0.4        0.48571429 0.48571429
 0.62857143 0.62857143 0.77142857 0.77142857 0.8        0.8
 0.91428571 0.91428571 1.        ]",0.7057142857142857
KNN,1,0.62366,0.62857,0.6666666666666666,0.6046511627906976,0.51429,0.74286,0.26414,"[0.         0.4        0.4        0.42857143 0.51428571 0.54285714
 0.62857143 0.71428571 1.        ]","[0.         0.17142857 0.2        0.25714286 0.25714286 0.28571429
 0.45714286 0.54285714 1.        ]",0.6342857142857142
RandomForest,1,0.65714,0.65714,0.6571428571428571,0.6571428571428571,0.65714,0.65714,0.31429,"[0.         0.         0.05714286 0.05714286 0.11428571 0.11428571
 0.25714286 0.25714286 0.45714286 0.45714286 0.54285714 0.54285714
 0.65714286 0.65714286 0.71428571 0.71428571 0.74285714 0.74285714
 0.77142857 0.77142857 0.8        0.8        0.82857143 0.82857143
 0.85714286 0.85714286 0.88571429 0.88571429 0.94285714 0.94285714
 0.97142857 0.97142857 1.         1.        ]","[0.         0.02857143 0.02857143 0.05714286 0.05714286 0.08571429
 0.08571429 0.17142857 0.17142857 0.28571429 0.28571429 0.31428571
 0.31428571 0.34285714 0.34285714 0.37142857 0.37142857 0.4
 0.4        0.42857143 0.42857143 0.51428571 0.51428571 0.57142857
 0.57142857 0.6        0.6        0.62857143 0.62857143 0.85714286
 0.85714286 0.97142857 0.97142857 1.        ]",0.6979591836734694
DecisionTree,1,0.61358,0.61429,0.625,0.6052631578947368,0.57143,0.65714,0.22942,[0.         0.37142857 0.57142857 0.77142857 0.91428571 1.        ],[0.         0.22857143 0.34285714 0.62857143 0.8        1.        ],0.6240816326530613
KNN,1,0.6078,0.61429,0.6538461538461539,0.5909090909090909,0.48571,0.74286,0.23652,"[0.         0.05714286 0.11428571 0.22857143 0.37142857 0.48571429
 0.62857143 0.68571429 0.77142857 0.88571429 0.97142857 1.
 1.        ]","[0.         0.05714286 0.08571429 0.2        0.25714286 0.25714286
 0.28571429 0.34285714 0.42857143 0.71428571 0.91428571 0.94285714
 1.        ]",0.6644897959183673
LocalOutlierFactor,1,0.28043,0.28571,0.2413793103448276,0.3170731707317073,0.2,0.37143,-0.43501,"[0.         0.02857143 0.05714286 0.05714286 0.11428571 0.11428571
 0.2        0.2        0.25714286 0.31428571 0.45714286 0.45714286
 0.48571429 0.48571429 0.54285714 0.54285714 0.6        0.6
 0.68571429 0.68571429 0.71428571 0.71428571 0.77142857 0.77142857
 0.8        0.8        0.82857143 0.82857143 0.85714286 0.85714286
 0.88571429 0.88571429 0.91428571 0.91428571 0.97142857 0.97142857
 1.        ]","[0.         0.         0.         0.05714286 0.05714286 0.08571429
 0.08571429 0.11428571 0.11428571 0.11428571 0.11428571 0.14285714
 0.14285714 0.17142857 0.17142857 0.22857143 0.22857143 0.28571429
 0.28571429 0.31428571 0.31428571 0.34285714 0.34285714 0.37142857
 0.37142857 0.45714286 0.45714286 0.54285714 0.54285714 0.68571429
 0.68571429 0.74285714 0.74285714 0.85714286 0.85714286 1.
 1.        ]",0.7224489795918367
IsolationForest,1,0.41261,0.5,0.5,0.5,0.11429,0.88571,0.0,"[0.         0.02857143 0.02857143 0.05714286 0.05714286 0.17142857
 0.17142857 0.28571429 0.28571429 0.34285714 0.34285714 0.4
 0.4        0.45714286 0.45714286 0.51428571 0.51428571 0.54285714
 0.54285714 0.6        0.6        0.68571429 0.68571429 0.71428571
 0.71428571 0.77142857 0.77142857 0.91428571 0.91428571 0.97142857
 0.97142857 1.         1.        ]","[0.         0.         0.05714286 0.05714286 0.11428571 0.11428571
 0.2        0.2        0.22857143 0.22857143 0.28571429 0.28571429
 0.31428571 0.31428571 0.34285714 0.34285714 0.6        0.6
 0.74285714 0.74285714 0.77142857 0.77142857 0.8        0.8
 0.82857143 0.82857143 0.88571429 0.88571429 0.91428571 0.91428571
 0.97142857 0.97142857 1.        ]",0.49306122448979595
