model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
KNN,0,0.63871,0.64286,0.6176470588235294,0.6818181818181818,0.75,0.53571,0.29251,"[0.         0.42857143 0.75       0.75       0.75       0.82142857
 1.        ]","[0.         0.21428571 0.39285714 0.46428571 0.53571429 0.57142857
 1.        ]",0.6766581632653061
RandomForest,0,0.64103,0.64286,0.625,0.6666666666666666,0.71429,0.57143,0.28868,"[0.         0.         0.07142857 0.07142857 0.17857143 0.25
 0.28571429 0.28571429 0.32142857 0.32142857 0.57142857 0.57142857
 0.60714286 0.60714286 0.67857143 0.67857143 0.71428571 0.71428571
 0.75       0.75       0.82142857 0.82142857 0.85714286 0.85714286
 0.89285714 0.89285714 0.96428571 0.96428571 1.         1.        ]","[0.         0.03571429 0.03571429 0.07142857 0.07142857 0.07142857
 0.07142857 0.14285714 0.14285714 0.17857143 0.17857143 0.32142857
 0.32142857 0.35714286 0.35714286 0.39285714 0.39285714 0.5
 0.5        0.57142857 0.57142857 0.60714286 0.60714286 0.64285714
 0.64285714 0.89285714 0.89285714 0.96428571 0.96428571 1.        ]",0.6798469387755102
DecisionTree,0,0.67188,0.67857,0.6388888888888888,0.75,0.82143,0.53571,0.37268,[0.         0.82142857 1.        ],[0.         0.46428571 1.        ],0.6785714285714286
KNN,0,0.63542,0.64286,0.6111111111111112,0.7,0.78571,0.5,0.29814,"[0.         0.03571429 0.10714286 0.25       0.53571429 0.53571429
 0.64285714 0.78571429 0.78571429 0.82142857 1.         1.        ]","[0.         0.         0.03571429 0.07142857 0.21428571 0.35714286
 0.42857143 0.5        0.57142857 0.60714286 0.89285714 1.        ]",0.6868622448979591
LocalOutlierFactor,0,0.47798,0.48214,0.4782608695652174,0.48484848484848486,0.39286,0.57143,-0.0363,"[0.         0.03571429 0.07142857 0.07142857 0.10714286 0.10714286
 0.25       0.25       0.32142857 0.32142857 0.35714286 0.35714286
 0.39285714 0.39285714 0.53571429 0.53571429 0.57142857 0.57142857
 0.60714286 0.60714286 0.64285714 0.64285714 0.67857143 0.67857143
 0.71428571 0.71428571 0.75       0.75       0.85714286 0.85714286
 0.92857143 0.92857143 1.         1.        ]","[0.         0.         0.         0.03571429 0.03571429 0.07142857
 0.07142857 0.17857143 0.17857143 0.21428571 0.21428571 0.28571429
 0.28571429 0.32142857 0.32142857 0.39285714 0.39285714 0.5
 0.5        0.64285714 0.64285714 0.67857143 0.67857143 0.71428571
 0.71428571 0.78571429 0.78571429 0.82142857 0.82142857 0.85714286
 0.85714286 0.96428571 0.96428571 1.        ]",0.5612244897959183
IsolationForest,0,0.43896,0.51786,0.5714285714285714,0.5102040816326531,0.14286,0.89286,0.05399,"[0.         0.         0.         0.03571429 0.03571429 0.14285714
 0.14285714 0.17857143 0.17857143 0.21428571 0.21428571 0.25
 0.25       0.28571429 0.28571429 0.32142857 0.32142857 0.42857143
 0.42857143 0.57142857 0.57142857 0.71428571 0.71428571 0.78571429
 0.78571429 0.85714286 0.85714286 1.        ]","[0.         0.03571429 0.10714286 0.10714286 0.21428571 0.21428571
 0.32142857 0.32142857 0.42857143 0.42857143 0.46428571 0.46428571
 0.53571429 0.53571429 0.57142857 0.57142857 0.60714286 0.60714286
 0.64285714 0.64285714 0.71428571 0.71428571 0.78571429 0.78571429
 0.82142857 0.82142857 1.         1.        ]",0.3737244897959184
Xgboost,0,0.60664,0.60714,0.6153846153846154,0.6,0.57143,0.64286,0.21483,"[0.         0.03571429 0.03571429 0.21428571 0.21428571 0.32142857
 0.32142857 0.42857143 0.42857143 0.46428571 0.46428571 0.5
 0.5        0.53571429 0.53571429 0.57142857 0.57142857 0.71428571
 0.71428571 0.85714286 0.85714286 0.89285714 0.89285714 0.92857143
 0.92857143 0.96428571 0.96428571 1.        ]","[0.         0.         0.03571429 0.03571429 0.07142857 0.07142857
 0.10714286 0.10714286 0.14285714 0.14285714 0.21428571 0.21428571
 0.28571429 0.28571429 0.32142857 0.32142857 0.42857143 0.42857143
 0.57142857 0.57142857 0.60714286 0.60714286 0.67857143 0.67857143
 0.71428571 0.71428571 1.         1.        ]",0.6900510204081634
KNN,1,0.59896,0.60714,0.65,0.5833333333333334,0.46429,0.75,0.22361,"[0.         0.03571429 0.28571429 0.39285714 0.46428571 0.53571429
 0.57142857 0.92857143 1.        ]","[0.         0.03571429 0.17857143 0.21428571 0.25       0.35714286
 0.35714286 0.92857143 1.        ]",0.6020408163265305
RandomForest,1,0.67484,0.67857,0.7272727272727273,0.6470588235294118,0.57143,0.78571,0.36564,"[0.         0.03571429 0.10714286 0.10714286 0.14285714 0.14285714
 0.28571429 0.28571429 0.39285714 0.39285714 0.5        0.5
 0.57142857 0.57142857 0.60714286 0.60714286 0.67857143 0.67857143
 0.78571429 0.78571429 0.82142857 0.82142857 0.89285714 0.89285714
 0.92857143 0.92857143 0.96428571 0.96428571 1.         1.        ]","[0.         0.         0.         0.03571429 0.03571429 0.10714286
 0.10714286 0.14285714 0.14285714 0.17857143 0.17857143 0.21428571
 0.21428571 0.28571429 0.28571429 0.46428571 0.46428571 0.53571429
 0.53571429 0.57142857 0.57142857 0.60714286 0.60714286 0.67857143
 0.67857143 0.75       0.78571429 0.85714286 0.85714286 1.        ]",0.6868622448979591
DecisionTree,1,0.61506,0.625,0.6842105263157895,0.5945945945945946,0.46429,0.78571,0.26401,"[0.         0.14285714 0.35714286 0.46428571 0.60714286 0.78571429
 0.92857143 1.        ]","[0.         0.03571429 0.10714286 0.21428571 0.46428571 0.57142857
 0.78571429 1.        ]",0.6632653061224489
KNN,1,0.63871,0.64286,0.6818181818181818,0.6176470588235294,0.53571,0.75,0.29251,"[0.         0.         0.03571429 0.03571429 0.07142857 0.07142857
 0.21428571 0.21428571 0.53571429 0.53571429 0.60714286 0.60714286
 0.78571429 0.78571429 0.85714286 0.85714286 0.89285714 0.89285714
 0.92857143 0.92857143 0.96428571 0.96428571 1.         1.        ]","[0.         0.03571429 0.03571429 0.07142857 0.07142857 0.17857143
 0.17857143 0.25       0.25       0.28571429 0.28571429 0.32142857
 0.32142857 0.42857143 0.42857143 0.60714286 0.60714286 0.75
 0.75       0.78571429 0.78571429 0.82142857 0.82142857 1.        ]",0.6760204081632653
LocalOutlierFactor,1,0.33398,0.33929,0.30434782608695654,0.36363636363636365,0.25,0.42857,-0.32668,"[0.         0.03571429 0.10714286 0.10714286 0.21428571 0.21428571
 0.5        0.5        0.57142857 0.57142857 0.60714286 0.60714286
 0.64285714 0.64285714 0.75       0.75       0.78571429 0.78571429
 0.82142857 0.82142857 0.85714286 0.85714286 0.89285714 0.89285714
 0.92857143 0.92857143 0.96428571 0.96428571 1.        ]","[0.         0.         0.         0.07142857 0.07142857 0.10714286
 0.10714286 0.17857143 0.17857143 0.25       0.25       0.28571429
 0.28571429 0.35714286 0.35714286 0.42857143 0.42857143 0.60714286
 0.60714286 0.64285714 0.64285714 0.71428571 0.71428571 0.85714286
 0.85714286 0.89285714 0.89285714 1.         1.        ]",0.7079081632653061
IsolationForest,1,0.35325,0.48214,0.3333333333333333,0.49056603773584906,0.03571,0.92857,-0.07931,"[0.         0.         0.         0.14285714 0.14285714 0.17857143
 0.17857143 0.21428571 0.21428571 0.28571429 0.28571429 0.32142857
 0.32142857 0.35714286 0.35714286 0.39285714 0.39285714 0.5
 0.5        0.60714286 0.60714286 0.64285714 0.64285714 0.71428571
 0.71428571 0.89285714 0.89285714 0.92857143 0.92857143 0.96428571
 0.96428571 1.         1.        ]","[0.         0.03571429 0.07142857 0.07142857 0.10714286 0.10714286
 0.14285714 0.14285714 0.17857143 0.17857143 0.28571429 0.28571429
 0.35714286 0.35714286 0.39285714 0.39285714 0.5        0.5
 0.57142857 0.57142857 0.60714286 0.60714286 0.75       0.75
 0.78571429 0.78571429 0.82142857 0.82142857 0.85714286 0.85714286
 0.92857143 0.92857143 1.        ]",0.5076530612244898
