model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
KNN,0,0.58915,0.58929,0.5925925925925926,0.5862068965517241,0.57143,0.60714,0.17869,"[0.         0.07142857 0.57142857 0.57142857 0.60714286 0.78571429
 1.         1.        ]","[0.         0.25       0.35714286 0.39285714 0.46428571 0.5
 0.96428571 1.        ]",0.5809948979591836
KNN,1,0.59896,0.60714,0.65,0.5833333333333334,0.46429,0.75,0.22361,"[0.         0.17857143 0.28571429 0.35714286 0.46428571 0.5
 0.57142857 0.60714286 1.        ]","[0.         0.14285714 0.17857143 0.21428571 0.25       0.32142857
 0.35714286 0.39285714 1.        ]",0.6096938775510206
KNN,2,0.63871,0.64286,0.6176470588235294,0.6818181818181818,0.75,0.53571,0.29251,"[0.         0.25       0.53571429 0.67857143 0.75       0.75
 0.92857143 1.        ]","[0.         0.17857143 0.35714286 0.42857143 0.46428571 0.53571429
 0.85714286 1.        ]",0.6224489795918368
KNN,3,0.55229,0.55357,0.5483870967741935,0.56,0.60714,0.5,0.10776,"[0.         0.35714286 0.53571429 0.60714286 0.67857143 0.78571429
 0.82142857 1.        ]","[0.         0.39285714 0.46428571 0.5        0.57142857 0.57142857
 0.57142857 1.        ]",0.5586734693877551
KNN,4,0.67692,0.67857,0.65625,0.7083333333333334,0.75,0.60714,0.36084,"[0.         0.46428571 0.57142857 0.64285714 0.75       0.82142857
 1.        ]","[0.         0.10714286 0.14285714 0.32142857 0.39285714 0.60714286
 1.        ]",0.7276785714285714
KNN,5,0.60513,0.60714,0.625,0.59375,0.53571,0.67857,0.21651,"[0.         0.03571429 0.53571429 0.53571429 0.57142857 0.89285714
 1.        ]","[0.         0.         0.28571429 0.32142857 0.39285714 0.89285714
 1.        ]",0.6077806122448979
KNN,6,0.65799,0.66071,0.6363636363636364,0.6956521739130435,0.75,0.57143,0.32668,"[0.         0.35714286 0.46428571 0.64285714 0.85714286 0.89285714
 0.89285714 1.        ]","[0.         0.21428571 0.39285714 0.39285714 0.46428571 0.5
 0.60714286 1.        ]",0.6639030612244898
KNN,7,0.64286,0.64286,0.6428571428571429,0.6428571428571429,0.64286,0.64286,0.28571,"[0.         0.17857143 0.5        0.57142857 0.64285714 0.82142857
 0.85714286 0.96428571 1.        ]","[0.         0.14285714 0.25       0.32142857 0.35714286 0.42857143
 0.5        0.89285714 1.        ]",0.684311224489796
KNN,8,0.6424,0.64286,0.6333333333333333,0.6538461538461539,0.67857,0.60714,0.28645,"[0.         0.17857143 0.46428571 0.60714286 0.67857143 0.85714286
 1.        ]","[0.         0.03571429 0.17857143 0.35714286 0.39285714 0.60714286
 1.        ]",0.6970663265306123
KNN,9,0.65799,0.66071,0.6363636363636364,0.6956521739130435,0.75,0.57143,0.32668,"[0.         0.         0.07142857 0.14285714 0.75       0.96428571
 1.         1.        ]","[0.         0.03571429 0.10714286 0.25       0.42857143 0.96428571
 0.96428571 1.        ]",0.5924744897959184
KNN,10,0.62392,0.625,0.6129032258064516,0.64,0.67857,0.57143,0.25145,"[0.         0.53571429 0.57142857 0.60714286 0.67857143 0.75
 1.        ]","[0.         0.17857143 0.35714286 0.39285714 0.42857143 0.64285714
 1.        ]",0.65625
