MN,ACC_1,ACC_2,F1,AUC
KNN,0.6362821923756743,0.6362028078103451,0.6285856,0.6316965
RandomForest,0.6338318661668955,0.6403544414268744,0.6308212000000001,0.6332139999999999
DecisionTree,0.6485906103877761,0.6330214342773205,0.6277510999999999,0.6332144
LocalOutlierFactor,0.3725859352064751,0.4233874008458114,0.39356680000000005,0.4075004999999999
IsolationForest,0.5250079365079365,0.5035263648076014,0.4237511,0.5060720999999999
Xgboost,0.6271983829283418,0.6225558211318164,0.6204227999999999,0.6223208
