MN,ACC_1,ACC_2,F1,AUC
KNN,0.6318207870525253,0.6358920082187456,0.6245631500000001,0.6285737499999999
RandomForest,0.6322189710115377,0.6452779681195865,0.6319315,0.6350016999999999
DecisionTree,0.6299297434012012,0.6350844082828457,0.6234292,0.6271450000000001
LocalOutlierFactor,0.39117369348431735,0.43619540218961883,0.4082987,0.4216653
IsolationForest,0.5000881834215168,0.5000852702938616,0.4153352000000001,0.5002380999999999
Xgboost,0.6206172395516777,0.6209404319778226,0.6150441999999999,0.6178591
