MN,ACC_1,ACC_2,F1,AUC
Stacking,0.529960261960262,0.5335260295260295,0.5204192000000001,0.5310493827160493
RandomForest,0.5372626817626817,0.5362148962148962,0.5265264999999999,0.5345679012345679
DecisionTree,0.5025155955155955,0.5050791153291153,0.4941254,0.507469135802469
KNN,0.5445808219558219,0.5431164946164946,0.5313544,0.5485185185185185
LocalOutlierFactor,0.4412133601527541,0.4643055604526193,0.43513280000000004,0.5587654320987654
IsolationForest,0.38710089399744574,0.482635351576528,0.37577810000000006,0.5701234567901234
Xgboost,0.5158859473859473,0.5053499833499834,0.5026215999999999,0.5158024691358025
