model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RSEllipticEnvelope,0,0.33333,0.5,,0.5,0.0,1.0,0.0,"[0.         0.16666667 0.33333333 0.33333333 0.5        0.5
 0.83333333 0.83333333 1.        ]","[0.         0.         0.         0.33333333 0.33333333 0.83333333
 0.83333333 1.         1.        ]",0.49999999999999994
RandomForest,0,0.74825,0.75,0.8,0.7142857142857143,0.66667,0.83333,0.50709,"[0.         0.16666667 0.33333333 0.33333333 0.83333333 0.83333333
 1.         1.        ]","[0.         0.         0.         0.16666667 0.16666667 0.66666667
 0.66666667 1.        ]",0.8055555555555556
DecisionTree,0,0.65714,0.66667,0.75,0.625,0.5,0.83333,0.35355,[0.  0.5 1. ],[0.         0.16666667 1.        ],0.6666666666666666
KNN,0,0.74825,0.75,0.8,0.7142857142857143,0.66667,0.83333,0.50709,[0.         0.33333333 0.83333333 0.83333333 1.        ],[0.         0.16666667 0.16666667 0.83333333 1.        ],0.7361111111111113
LocalOutlierFactor,0,0.55556,0.58333,0.6666666666666666,0.5555555555555556,0.33333,0.83333,0.19245,"[0.         0.         0.         0.33333333 0.5        0.66666667
 0.66666667 1.         1.        ]","[0.         0.16666667 0.5        0.5        0.66666667 0.66666667
 0.83333333 0.83333333 1.        ]",0.3472222222222222
IsolationForest,0,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,"[0.         0.         0.         0.16666667 0.16666667 0.33333333
 0.33333333 0.66666667 0.66666667 1.        ]","[0.         0.16666667 0.33333333 0.33333333 0.5        0.5
 0.83333333 0.83333333 1.         1.        ]",0.25
RSEllipticEnvelope,1,0.33333,0.5,,0.5,0.0,1.0,0.0,"[0.         0.         0.         0.16666667 0.16666667 0.5
 0.5        0.83333333 0.83333333 1.        ]","[0.         0.16666667 0.33333333 0.33333333 0.5        0.5
 0.83333333 0.83333333 1.         1.        ]",0.33333333333333337
RandomForest,1,0.65714,0.66667,0.75,0.625,0.5,0.83333,0.35355,"[0.         0.16666667 0.16666667 0.5        0.5        0.83333333
 0.83333333 0.83333333 1.        ]","[0.         0.         0.16666667 0.16666667 0.33333333 0.33333333
 0.5        0.83333333 1.        ]",0.6805555555555556
DecisionTree,1,0.74825,0.75,0.8,0.7142857142857143,0.66667,0.83333,0.50709,[0.         0.66666667 1.        ],[0.         0.16666667 1.        ],0.75
KNN,1,0.41259,0.41667,0.4,0.42857142857142855,0.33333,0.5,-0.16903,"[0.         0.         0.33333333 0.33333333 0.5        0.66666667
 1.         1.        ]","[0.         0.16666667 0.33333333 0.5        0.5        0.66666667
 0.83333333 1.        ]",0.4861111111111111
