model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RSEllipticEnvelope,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.    0.125 0.25  0.25  0.5   0.5   0.625 0.625 1.    1.   ],[0.    0.    0.    0.375 0.375 0.625 0.625 0.875 0.875 1.   ],0.5
RandomForest,0,0.54656,0.5625,0.6,0.5454545454545454,0.375,0.75,0.13484,[0.    0.125 0.375 0.375 0.875 0.875 0.875 1.    1.   ],[0.    0.    0.    0.25  0.25  0.375 0.625 0.625 1.   ],0.796875
DecisionTree,0,0.61905,0.625,0.6666666666666666,0.6,0.5,0.75,0.2582,[0.  0.5 1. ],[0.   0.25 1.  ],0.625
KNN,0,0.67611,0.6875,0.8,0.6363636363636364,0.5,0.875,0.40452,[0.    0.125 0.375 0.5   0.875 1.   ],[0.    0.125 0.125 0.125 1.    1.   ],0.609375
LocalOutlierFactor,0,0.45894,0.5625,1.0,0.5333333333333333,0.125,1.0,0.2582,[0.    0.    0.375 0.75  0.75  1.   ],[0.    0.375 0.625 0.75  1.    1.   ],0.3046875
IsolationForest,0,0.45894,0.5625,1.0,0.5333333333333333,0.125,1.0,0.2582,[0.    0.    0.    0.125 0.125 0.25  0.25  0.875 0.875 1.   ],[0.    0.125 0.25  0.375 0.5   0.5   0.75  0.75  1.    1.   ],0.3046875
RSEllipticEnvelope,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.    0.    0.    0.375 0.375 0.625 0.625 0.875 0.875 1.   ],[0.    0.125 0.25  0.25  0.5   0.5   0.875 0.875 1.    1.   ],0.4375
RandomForest,1,0.54656,0.5625,0.6,0.5454545454545454,0.375,0.75,0.13484,"[0.    0.    0.25  0.25  0.375 0.375 0.5   0.5   0.625 0.75  0.75  0.875
 1.   ]","[0.    0.125 0.125 0.25  0.25  0.375 0.375 0.625 0.625 0.75  0.875 1.
 1.   ]",0.484375
DecisionTree,1,0.375,0.375,0.375,0.375,0.375,0.375,-0.25,[0.    0.125 0.375 0.5   1.   ],[0.    0.125 0.625 0.625 1.   ],0.4140625
KNN,1,0.49206,0.5,0.5,0.5,0.375,0.625,0.0,[0.    0.    0.25  0.5   0.875 1.    1.   ],[0.    0.125 0.375 0.375 0.625 0.625 1.   ],0.578125
