MN,ACC_1,ACC_2,F1,AUC
RSEllipticEnvelope,0.43666666666666665,0.49914817681458545,0.36135019999999995,0.498
RandomForest,0.5857564102564102,0.5893707403707403,0.5755283999999999,0.5820000000000001
DecisionTree,0.5797803862803863,0.5662072927072928,0.5552474000000001,0.565
KNN,0.5605988455988455,0.5561348286216707,0.546021,0.558
LocalOutlierFactor,0.4110914338187066,0.4909239406963865,0.3984274,0.48700000000000004
IsolationForest,0.5278467908902692,0.5092810202353547,0.43569659999999993,0.5119999999999999
