model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
RSEllipticEnvelope,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.   0.25 0.5  0.5  1.   1.  ],[0.   0.   0.   0.75 0.75 1.  ],0.625
RandomForest,0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,[0.   0.25 0.25 1.   1.  ],[0.   0.   0.25 0.25 1.  ],0.8125
DecisionTree,0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,[0.   0.75 1.  ],[0.   0.25 1.  ],0.75
KNN,0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,[0.   0.25 0.75 1.   1.  ],[0.   0.25 0.25 0.75 1.  ],0.71875
LocalOutlierFactor,0,0.27273,0.375,0.0,0.42857142857142855,0.0,0.75,-0.37796,[0.   0.   0.25 0.25 0.75 0.75 1.   1.  ],[0.   0.25 0.25 0.5  0.5  0.75 0.75 1.  ],0.5
IsolationForest,0,0.56364,0.625,1.0,0.5714285714285714,0.25,1.0,0.37796,[0.   0.25 0.25 0.5  0.5  0.75 0.75 1.  ],[0.   0.   0.25 0.25 0.75 0.75 1.   1.  ],0.5
RSEllipticEnvelope,1,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.   0.   0.5  0.5  0.75 0.75 1.  ],[0.   0.25 0.25 0.75 0.75 1.   1.  ],0.4375
RandomForest,1,0.75,0.75,0.75,0.75,0.75,0.75,0.5,[0.   0.   0.75 0.75 1.   1.  ],[0.   0.25 0.25 0.5  0.5  1.  ],0.6875
DecisionTree,1,0.75,0.75,0.75,0.75,0.75,0.75,0.5,[0.   0.75 1.  ],[0.   0.25 1.  ],0.75
KNN,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,[0.  0.  0.5 0.5 1. ],[0.   0.5  0.5  0.75 1.  ],0.3125
LocalOutlierFactor,1,0.61905,0.625,0.6666666666666666,0.6,0.5,0.75,0.2582,[0.  0.  0.5 0.5 1.  1. ],[0.   0.25 0.25 0.75 0.75 1.  ],0.5
IsolationForest,1,0.56364,0.625,1.0,0.5714285714285714,0.25,1.0,0.37796,[0.   0.   0.25 0.25 0.5  0.5  1.  ],[0.   0.25 0.25 0.5  0.5  1.   1.  ],0.3125
RSEllipticEnvelope,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.5 0.5 1.  1. ],[0.   0.25 0.25 0.75 0.75 1.  ],0.5
RandomForest,2,0.73333,0.75,1.0,0.6666666666666666,0.5,1.0,0.57735,[0.   0.25 0.75 0.75 1.  ],[0. 0. 0. 1. 1.],0.75
DecisionTree,2,0.73333,0.75,1.0,0.6666666666666666,0.5,1.0,0.57735,[0.  0.5 1.  1. ],[0.   0.   0.75 1.  ],0.8125
KNN,2,0.46667,0.5,0.5,0.5,0.25,0.75,0.0,[0.   0.25 0.25 0.5  0.75 1.  ],[0.   0.   0.25 0.25 0.75 1.  ],0.59375
LocalOutlierFactor,2,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,[0.   0.25 0.5  0.5  0.75 0.75 1.   1.  ],[0.   0.   0.   0.25 0.25 0.5  0.5  1.  ],0.8125
IsolationForest,2,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.   0.   0.75 0.75 1.  ],[0.   0.25 0.25 1.   1.  ],0.5625
RSEllipticEnvelope,3,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.   0.   0.25 0.25 0.75 0.75 1.  ],[0.   0.25 0.25 0.5  0.5  1.   1.  ],0.4375
RandomForest,3,0.87302,0.875,1.0,0.8,0.75,1.0,0.7746,[0.   0.25 1.   1.   1.  ],[0.  0.  0.  0.5 1. ],1.0
DecisionTree,3,0.87302,0.875,0.8,1.0,1.0,0.75,0.7746,[0. 1. 1.],[0.   0.25 1.  ],0.875
