model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
Xgboost,2,0.72136,0.72222,0.7,0.75,0.77778,0.66667,0.44721,"[0.         0.         0.         0.77777778 0.77777778 0.88888889
 0.88888889 1.         1.        ]","[0.         0.11111111 0.33333333 0.33333333 0.44444444 0.44444444
 0.77777778 0.77777778 1.        ]",0.6049382716049383
Stacking,3,0.55,0.55556,0.5454545454545454,0.5714285714285714,0.66667,0.44444,0.11396,[0.         0.44444444 0.66666667 0.66666667 1.        ],[0.         0.33333333 0.44444444 0.66666667 1.        ],0.5617283950617284
RandomForest,3,0.48571,0.5,0.5,0.5,0.33333,0.66667,0.0,"[0.         0.         0.11111111 0.22222222 0.22222222 0.33333333
 0.55555556 0.55555556 0.55555556 0.66666667 0.88888889 1.
 1.        ]","[0.         0.11111111 0.22222222 0.22222222 0.33333333 0.33333333
 0.44444444 0.66666667 0.77777778 0.77777778 0.77777778 0.77777778
 1.        ]",0.4876543209876543
DecisionTree,3,0.60991,0.61111,0.625,0.6,0.55556,0.66667,0.22361,"[0.         0.11111111 0.44444444 0.55555556 0.77777778 1.
 1.        ]","[0.         0.22222222 0.33333333 0.33333333 0.77777778 0.88888889
 1.        ]",0.5493827160493827
KNN,3,0.49845,0.5,0.5,0.5,0.55556,0.44444,0.0,"[0.         0.11111111 0.22222222 0.22222222 0.33333333 0.33333333
 0.55555556 0.55555556 0.66666667 0.66666667 1.         1.        ]","[0.         0.         0.         0.11111111 0.11111111 0.33333333
 0.33333333 0.55555556 0.55555556 0.66666667 0.66666667 1.        ]",0.6296296296296297
LocalOutlierFactor,3,0.49845,0.5,0.5,0.5,0.44444,0.55556,0.0,"[0.         0.         0.         0.33333333 0.33333333 0.44444444
 0.44444444 0.66666667 0.66666667 1.        ]","[0.         0.11111111 0.22222222 0.22222222 0.33333333 0.33333333
 0.55555556 0.55555556 1.         1.        ]",0.43209876543209874
IsolationForest,3,0.45819,0.5,0.5,0.5,0.22222,0.77778,0.0,"[0.         0.11111111 0.11111111 0.22222222 0.22222222 0.33333333
 0.33333333 0.55555556 0.55555556 0.66666667 0.66666667 0.88888889
 0.88888889 1.        ]","[0.         0.         0.11111111 0.11111111 0.22222222 0.22222222
 0.33333333 0.33333333 0.55555556 0.55555556 0.77777778 0.77777778
 1.         1.        ]",0.5432098765432098
Xgboost,3,0.55556,0.55556,0.5555555555555556,0.5555555555555556,0.55556,0.55556,0.11111,"[0.         0.         0.11111111 0.11111111 0.44444444 0.77777778
 0.77777778 0.88888889 0.88888889 1.        ]","[0.         0.11111111 0.11111111 0.33333333 0.44444444 0.44444444
 0.55555556 0.55555556 1.         1.        ]",0.5370370370370371
Stacking,4,0.4375,0.44444,0.45454545454545453,0.42857142857142855,0.55556,0.33333,-0.11396,"[0.         0.11111111 0.33333333 0.55555556 0.55555556 0.88888889
 1.         1.        ]","[0.         0.22222222 0.33333333 0.55555556 0.66666667 0.88888889
 0.88888889 1.        ]",0.4691358024691358
RandomForest,4,0.387,0.38889,0.375,0.4,0.33333,0.44444,-0.22361,"[0.         0.         0.22222222 0.22222222 0.33333333 0.33333333
 0.55555556 0.55555556 0.88888889 0.88888889 1.        ]","[0.         0.11111111 0.11111111 0.22222222 0.22222222 0.55555556
 0.55555556 0.77777778 0.77777778 1.         1.        ]",0.4567901234567901
DecisionTree,4,0.60991,0.61111,0.625,0.6,0.55556,0.66667,0.22361,"[0.         0.44444444 0.44444444 0.66666667 0.66666667 0.66666667
 1.        ]","[0.         0.11111111 0.22222222 0.44444444 0.77777778 0.88888889
 1.        ]",0.5864197530864197
KNN,4,0.55,0.55556,0.5454545454545454,0.5714285714285714,0.66667,0.44444,0.11396,"[0.         0.44444444 0.55555556 0.66666667 0.77777778 0.77777778
 0.88888889 0.88888889 1.        ]","[0.         0.         0.22222222 0.55555556 0.55555556 0.66666667
 0.66666667 0.77777778 1.        ]",0.7098765432098766
LocalOutlierFactor,4,0.64935,0.66667,0.8,0.6153846153846154,0.44444,0.88889,0.3721,"[0.         0.         0.         0.22222222 0.55555556 0.55555556
 0.88888889 0.88888889 1.        ]","[0.         0.11111111 0.55555556 0.55555556 0.55555556 0.88888889
 0.88888889 1.         1.        ]",0.2839506172839506
IsolationForest,4,0.30769,0.44444,0.0,0.47058823529411764,0.0,0.88889,-0.24254,"[0.         0.         0.         0.11111111 0.11111111 0.22222222
 0.22222222 0.66666667 0.66666667 0.88888889 0.88888889 1.
 1.        ]","[0.         0.11111111 0.22222222 0.22222222 0.33333333 0.33333333
 0.66666667 0.66666667 0.77777778 0.77777778 0.88888889 0.88888889
 1.        ]",0.37037037037037035
Xgboost,4,0.60991,0.61111,0.625,0.6,0.55556,0.66667,0.22361,"[0.         0.11111111 0.22222222 0.55555556 0.55555556 0.66666667
 0.77777778 0.77777778 0.88888889 0.88888889 1.        ]","[0.         0.         0.         0.11111111 0.66666667 0.77777778
 0.77777778 0.88888889 0.88888889 1.         1.        ]",0.6049382716049383
Stacking,5,0.55,0.55556,0.5714285714285714,0.5454545454545454,0.44444,0.66667,0.11396,[0.         0.11111111 0.33333333 0.44444444 0.55555556 1.        ],[0.         0.         0.22222222 0.33333333 0.55555556 1.        ],0.5493827160493827
RandomForest,5,0.41558,0.44444,0.4,0.46153846153846156,0.22222,0.66667,-0.12403,"[0.         0.         0.         0.22222222 0.33333333 0.33333333
 0.44444444 0.44444444 0.66666667 0.66666667 0.77777778 1.        ]","[0.         0.11111111 0.33333333 0.33333333 0.33333333 0.44444444
 0.55555556 0.66666667 0.66666667 0.88888889 0.88888889 1.        ]",0.3765432098765432
DecisionTree,5,0.387,0.38889,0.375,0.4,0.33333,0.44444,-0.22361,"[0.         0.11111111 0.11111111 0.22222222 0.33333333 0.33333333
 0.44444444 0.44444444 0.66666667 0.77777778 1.        ]","[0.         0.11111111 0.22222222 0.22222222 0.44444444 0.55555556
 0.55555556 0.66666667 0.77777778 0.77777778 1.        ]",0.42592592592592593
KNN,5,0.49845,0.5,0.5,0.5,0.55556,0.44444,0.0,"[0.         0.         0.11111111 0.11111111 0.33333333 0.33333333
 0.44444444 0.44444444 0.55555556 0.55555556 0.77777778 0.77777778
 1.        ]","[0.         0.11111111 0.11111111 0.33333333 0.33333333 0.44444444
 0.44444444 0.55555556 0.55555556 0.66666667 0.66666667 1.
 1.        ]",0.4320987654320988
LocalOutlierFactor,5,0.30769,0.44444,0.0,0.47058823529411764,0.0,0.88889,-0.24254,"[0.         0.11111111 0.22222222 0.22222222 0.33333333 0.33333333
 0.44444444 0.44444444 0.55555556 0.55555556 0.66666667 0.66666667
 0.88888889 0.88888889 1.         1.        ]","[0.         0.         0.         0.11111111 0.11111111 0.22222222
 0.22222222 0.33333333 0.33333333 0.44444444 0.44444444 0.55555556
 0.55555556 0.88888889 0.88888889 1.        ]",0.654320987654321
IsolationForest,5,0.28,0.38889,0.0,0.4375,0.0,0.77778,-0.35355,"[0.         0.11111111 0.11111111 0.22222222 0.22222222 0.66666667
 0.66666667 0.77777778 0.77777778 0.88888889 0.88888889 1.
 1.        ]","[0.         0.         0.11111111 0.11111111 0.44444444 0.44444444
 0.55555556 0.55555556 0.66666667 0.66666667 0.77777778 0.77777778
 1.        ]",0.5679012345679013
Xgboost,5,0.4375,0.44444,0.42857142857142855,0.45454545454545453,0.33333,0.55556,-0.11396,"[0.         0.         0.         0.22222222 0.22222222 0.33333333
 0.33333333 0.55555556 0.55555556 0.66666667 0.66666667 1.        ]","[0.         0.11111111 0.22222222 0.22222222 0.33333333 0.33333333
 0.44444444 0.44444444 0.77777778 0.77777778 1.         1.        ]",0.3950617283950617
