model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
KNN,0,0.68627,0.6875,0.7142857142857143,0.6666666666666666,0.625,0.75,0.37796,"[0.         0.45833333 0.58333333 0.625      0.625      0.70833333
 1.        ]","[0.         0.125      0.16666667 0.25       0.375      0.58333333
 1.        ]",0.6736111111111112
KNN,1,0.64444,0.64583,0.6296296296296297,0.6666666666666666,0.70833,0.58333,0.29397,"[0.         0.41666667 0.45833333 0.70833333 0.95833333 1.
 1.        ]","[0.         0.29166667 0.33333333 0.41666667 0.75       0.83333333
 1.        ]",0.6536458333333334
KNN,2,0.7037,0.70833,0.7777777777777778,0.6666666666666666,0.58333,0.83333,0.43033,"[0.         0.58333333 0.70833333 0.70833333 0.79166667 0.79166667
 1.        ]","[0.         0.16666667 0.33333333 0.41666667 0.5        0.58333333
 1.        ]",0.7170138888888888
KNN,3,0.59982,0.60417,0.5862068965517241,0.631578947368421,0.70833,0.5,0.21301,"[0.         0.375      0.58333333 0.625      0.70833333 0.70833333
 0.79166667 0.79166667 1.        ]","[0.         0.16666667 0.25       0.29166667 0.41666667 0.5
 0.66666667 0.70833333 1.        ]",0.657986111111111
KNN,4,0.64568,0.64583,0.6521739130434783,0.64,0.625,0.66667,0.29192,"[0.         0.20833333 0.41666667 0.58333333 0.625      0.75
 0.79166667 1.        ]","[0.         0.04166667 0.16666667 0.25       0.33333333 0.375
 0.41666667 1.        ]",0.7187499999999999
KNN,5,0.54087,0.54167,0.5454545454545454,0.5384615384615384,0.5,0.58333,0.08362,"[0.         0.29166667 0.33333333 0.41666667 0.58333333 0.66666667
 1.        ]","[0.         0.08333333 0.29166667 0.41666667 0.41666667 0.45833333
 1.        ]",0.6015625
KNN,6,0.62435,0.625,0.6153846153846154,0.6363636363636364,0.66667,0.58333,0.25087,"[0.         0.625      0.66666667 0.66666667 0.75       0.79166667
 0.79166667 1.        ]","[0.         0.29166667 0.375      0.41666667 0.45833333 0.5
 0.54166667 1.        ]",0.6779513888888888
KNN,7,0.60261,0.60417,0.6190476190476191,0.5925925925925926,0.54167,0.66667,0.20998,"[0.         0.25       0.375      0.54166667 0.58333333 0.70833333
 1.        ]","[0.         0.125      0.20833333 0.33333333 0.375      0.45833333
 1.        ]",0.638888888888889
KNN,8,0.70783,0.70833,0.7272727272727273,0.6923076923076923,0.66667,0.75,0.41812,"[0.         0.29166667 0.54166667 0.66666667 0.79166667 0.79166667
 0.875      0.91666667 1.        ]","[0.         0.20833333 0.25       0.25       0.33333333 0.375
 0.5        0.58333333 1.        ]",0.7196180555555555
KNN,9,0.53439,0.54167,0.5333333333333333,0.5555555555555556,0.66667,0.41667,0.08607,[0.         0.58333333 0.66666667 0.70833333 0.70833333 1.        ],[0.         0.41666667 0.58333333 0.58333333 0.625      1.        ],0.5755208333333333
KNN,10,0.68407,0.6875,0.6551724137931034,0.7368421052631579,0.79167,0.58333,0.38341,"[0.         0.54166667 0.58333333 0.625      0.79166667 0.79166667
 1.        ]","[0.         0.20833333 0.25       0.25       0.41666667 0.45833333
 1.        ]",0.7161458333333333
